warp_num,grid_size,throughput
2,2,3.089409997
2,4,6.178819994
2,8,12.28187392
2,16,24.12754787
2,32,46.8937575
2,64,92.99211427
2,128,173.0942325
2,256,297.3535534
2,512,475.8732274
2,1024,609.1803478
4,2,6.095895755
4,4,12.03496881
4,8,23.55646012
4,16,45.63043002
4,32,85.66924817
4,64,168.8390626
4,128,288.3340061
4,256,476.8262445
4,512,607.2567178
8,2,10.92199077
8,4,20.25931929
8,8,39.42471457
8,16,77.18908238
8,32,154.674256
8,64,284.9165195
8,128,468.4279558
8,256,596.0896519
16,2,19.10730663
16,4,37.22897308
16,8,72.98843863
16,16,144.0424061
16,32,260.6474483
16,64,457.101065
16,128,603.2636564
32,2,33.47795811
32,4,65.55141853
32,8,129.4263823
32,16,240.4655413
32,32,440.5480418
32,64,605.3818446