reg,warp_number,redu,GFLOPS
64,8,32,155.874285
64,8,8,155.733905
64,8,16,155.6917711
64,8,4,155.5440162
64,8,2,155.3277274
64,8,1,153.1813947
32,16,32,152.3536327
32,16,16,152.0173229
32,16,8,151.9352735
32,16,4,151.6165839
32,16,2,151.4036328
32,16,1,149.5564521
64,4,16,142.6421358
64,4,32,142.2520649
64,4,8,142.2389428
64,4,4,142.2313826
64,4,2,142.1952271
16,32,32,141.8557967
16,32,16,141.7775662
16,32,4,141.7331938
16,32,8,141.392595
16,32,2,141.290957
32,8,16,140.4767456
32,8,8,140.4002898
32,8,32,140.3952849
32,8,2,140.1428361
32,8,4,140.027048
16,32,1,139.8417433
64,4,1,138.9269659
32,8,1,137.5897099
16,16,16,132.6132836
16,16,32,132.4518903
16,16,8,132.4293635
16,16,4,132.1890988
16,16,2,132.1109647
16,16,1,129.6941643
32,4,4,122.235731
32,4,32,122.1898866
32,4,16,122.1304767
32,4,2,122.1027102
32,4,8,121.9326808
32,4,1,119.3985086
8,32,16,117.1234239
8,32,32,117.0153294
8,32,8,117.0143996
16,8,32,117.0128916
16,8,16,116.9664605
8,32,2,116.7902614
16,8,4,116.7540977
16,8,8,116.5887215
8,32,4,116.5515423
16,8,2,116.4483109
8,32,1,114.6391172
16,8,1,114.5611939
8,16,32,105.2993755
8,16,16,105.2991615
8,16,4,105.1098838
8,16,2,104.9630753
8,16,8,104.7934804
8,16,1,103.2649888
16,4,32,94.62968288
16,4,16,94.34905759
16,4,8,94.31095589
16,4,4,94.18065544
16,4,2,93.85215872
16,4,1,92.49383042
8,8,16,87.31110275
8,8,32,87.18746348
8,8,8,86.85885088
8,8,4,86.65298577
4,32,32,86.5186434
4,32,16,86.45670834
8,8,2,86.30304946
4,32,4,86.29760779
4,32,8,86.25750703
4,32,2,86.16132143
4,32,1,85.44437928
8,8,1,85.04957995
4,16,16,74.25342895
4,16,32,74.02921653
4,16,8,74.00960526
4,16,4,73.82839009
4,16,2,73.65385988
4,16,1,73.3522516
64,2,16,73.19775211
64,2,8,73.16151375
64,2,32,73.16034429
64,2,4,73.00997604
64,2,2,72.99770662
64,2,1,71.71611123
8,4,32,65.1824401
8,4,8,64.96461319
8,4,16,64.94109955
8,4,4,64.54365116
32,2,16,64.05870281
8,4,1,64.04449799
32,2,32,63.95406694
32,2,8,63.88225331
8,4,2,63.88188134
32,2,4,63.87877602
32,2,2,63.29970263
32,2,1,62.66134193
4,8,32,57.86564027
4,8,8,57.6081382
4,8,16,57.51945459
2,32,32,57.30382338
4,8,4,57.29753362
2,32,16,57.28714438
2,32,4,57.20724516
2,32,8,56.90450287
2,32,2,56.88746239
4,8,1,56.6329896
4,8,2,56.30967817
2,32,1,56.10722615
16,2,16,50.77289311
16,2,32,50.73761713
16,2,8,50.69607402
16,2,4,50.63365702
16,2,2,50.03249704
16,2,1,49.87691439
2,16,32,46.9869001
2,16,16,46.92231271
2,16,2,46.86461661
2,16,4,46.81094602
2,16,8,46.70220304
2,16,1,45.61868781
4,4,32,40.14614802
4,4,8,40.02338962
4,4,16,40.01548478
4,4,4,39.5817444
4,4,1,39.10803447
4,4,2,38.78212886
64,1,32,37.06058795
64,1,8,37.05486122
64,1,16,37.04053845
64,1,4,36.93313712
64,1,2,36.92794181
64,1,1,35.98003068
8,2,32,35.86417799
8,2,8,35.77684806
8,2,16,35.72169803
8,2,4,35.58248611
8,2,1,35.41250402
8,2,2,35.20039294
2,8,32,34.58616763
2,8,8,34.48729759
2,8,16,34.45959684
2,8,4,34.02226169
2,8,1,33.4431702
2,8,2,33.23385452
1,32,16,32.98669107
1,32,32,32.97330206
1,32,4,32.83112298
32,1,32,32.76738369
1,32,8,32.73748092
32,1,8,32.73152507
32,1,4,32.71526348
1,32,2,32.71167339
32,1,16,32.65510519
32,1,2,32.54551816
1,32,1,32.47181907
32,1,1,31.95209498
1,16,32,26.40972846
1,16,4,26.35675487
16,1,8,26.34101774
1,16,16,26.33859813
16,1,32,26.33555642
16,1,4,26.32379073
1,16,8,26.3067363
16,1,16,26.29790087
1,16,2,25.98754502
1,16,1,25.92454877
16,1,2,25.84478555
16,1,1,25.84393841
2,4,32,22.64878488
4,2,32,22.55427796
4,2,16,22.51265039
4,2,8,22.51156385
2,4,16,22.50422842
2,4,8,22.45634842
4,2,4,22.14760454
2,4,4,22.14688652
2,4,1,22.0888207
4,2,1,21.95628321
4,2,2,21.57886527
2,4,2,21.54382444
8,1,8,18.90880831
1,8,32,18.85475712
1,8,8,18.82652405
8,1,32,18.82428608
8,1,16,18.82063543
1,8,16,18.78229289
1,8,4,18.70231284
8,1,4,18.68246919
1,8,1,18.65091087
8,1,1,18.62076509
8,1,2,18.50883966
1,8,2,18.29467503
2,2,32,12.94911273
2,2,8,12.9094626
2,2,16,12.89871781
2,2,4,12.74372244
2,2,1,12.73838186
2,2,2,12.69616103
4,1,32,12.06280838
4,1,16,12.06047272
4,1,8,12.06030505
1,4,16,12.02969519
1,4,8,12.02419146
1,4,32,11.99364134
4,1,4,11.94886973
1,4,4,11.70864541
4,1,1,11.66800281
1,4,1,11.61886744
4,1,2,11.58912873
1,4,2,11.49227097
2,1,16,6.998136235
2,1,32,6.996489666
2,1,8,6.992183379
1,2,8,6.922750589
1,2,32,6.908890193
1,2,16,6.903711721
2,1,1,6.871720122
1,2,1,6.871174134
2,1,4,6.742817572
2,1,2,6.687998139
1,2,2,6.657579035
1,2,4,6.654115609
1,1,16,3.755247551
1,1,32,3.754380401
1,1,8,3.749425287
1,1,1,3.661314531
1,1,4,3.6060856
1,1,2,3.59490848